origin_country,origin_iata,dest_country,dest_iata,departure,arrival,duration_minutes,stop_count,carriers,price_eur,price_formatted,segment_count,itinerary_id
FR,CDG,IT,FCO,2026-06-01T13:20:00,2026-06-01T20:30:00,430,1,Air Europa,867.5,868 €,2,10413-2606011320--32680-1-11493-2606012030
FR,CDG,IT,FCO,2026-06-01T20:55:00,2026-06-02T19:55:00,1380,1,Norwegian,271.42,272 €,2,10413-2606012055--32013-1-11493-2606021955
FR,CDG,IT,FCO,2026-06-01T18:30:00,2026-06-02T16:40:00,1330,1,Royal Air Maroc,281.85,282 €,2,10413-2606011830--31927-1-11493-2606021640
FR,CDG,IT,FCO,2026-06-01T18:00:00,2026-06-02T13:30:00,1170,1,Air Algerie,324.94,325 €,2,10413-2606011800--32717-1-11493-2606021330
FR,CDG,IT,FCO,2026-06-01T19:45:00,2026-06-02T12:00:00,975,2,LOT,395.36,396 €,3,10413-2606011945--32093-2-11493-2606021200
FR,CDG,IT,FCO,2026-06-01T19:45:00,2026-06-02T09:20:00,815,1,Turkish Airlines,481.47,482 €,2,10413-2606011945--31734-1-11493-2606020920
FR,CDG,IT,FCO,2026-06-01T07:00:00,2026-06-01T15:45:00,525,1,Air Europa,757.54,758 €,2,10413-2606010700--32680-1-11493-2606011545
FR,CDG,IT,FCO,2026-06-01T11:20:00,2026-06-01T15:50:00,270,1,"Lufthansa, Condor",1494.57,"1,495 €",2,"10413-2606011120--32090,-32415-1-11493-2606011550"
FR,CDG,IT,FCO,2026-06-01T21:00:00,2026-06-02T10:00:00,780,1,Lufthansa,523.64,524 €,2,10413-2606012100--32090-1-11493-2606021000
FR,CDG,IT,FCO,2026-06-01T07:05:00,2026-06-02T08:10:00,1505,1,Austrian Airlines,276.94,277 €,2,10413-2606010705--32544-1-11493-2606020810
FR,CDG,IT,FCO,2026-06-01T15:30:00,2026-06-02T13:30:00,1320,1,Air Algerie,324.94,325 €,2,10413-2606011530--32717-1-11493-2606021330
